
合約月份      行使價       *開市  *全日最高 *全日最低 正式收市價   成交量  | *開市  *全日最高 *全日最低     結算價     結算價變動 引申波幅%   成交量  | *合約最高  *合約最低    成交量   未平倉合約 未平倉合約變動
19 年 02 月   7800 認購        0          0         0         0         0  |     0          0         0       3241            +67        0         0  |      2622       2590         0        41            0
19 年 02 月   7900 認購        0          0         0         0         0  |     0          0         0       3141            +67        0         0  |         0          0         0         0            0
19 年 02 月   8000 認購        0          0         0         0         0  |     0          0         0       3041            +67        0         0  |         0          0         0         0            0
19 年 02 月   8100 認購        0          0         0         0         0  |     0          0         0       2941            +67        0         0  |         0          0         0         0            0
19 年 02 月   8200 認購        0          0         0         0         0  |     0          0         0       2841            +67        0         0  |         0          0         0         0            0
19 年 02 月   8300 認購        0          0         0         0         0  |     0          0         0       2741            +67        0         0  |         0          0         0         0            0
19 年 02 月   8400 認購        0          0         0         0         0  |     0          0         0       2641            +67        0         0  |         0          0         0         0            0
19 年 02 月   8500 認購        0          0         0         0         0  |     0          0         0       2541            +67        0         0  |         0          0         0         0            0
19 年 02 月   8600 認購        0          0         0         0         0  |     0          0         0       2441            +67        0         0  |         0          0         0         0            0
19 年 02 月   8700 認購        0          0         0         0         0  |     0          0         0       2341            +67        0         0  |         0          0         0         0            0
19 年 02 月   8800 認購        0          0         0         0         0  |     0          0         0       2241            +67        0         0  |         0          0         0         0            0
19 年 02 月   8900 認購        0          0         0         0         0  |     0          0         0       2141            +67        0         0  |      1303       1277         0         0            0
19 年 02 月   9000 認購        0          0         0         0         0  |     0          0         0       2041            +67        0         0  |      1285       1045         0         4            0
19 年 02 月   9100 認購        0          0         0         0         0  |     0          0         0       1941            +67        0         0  |      1305       1100         0         0            0
19 年 02 月   9200 認購        0          0         0         0         0  |     0          0         0       1841            +66        0         0  |      1200       1008         0         1            0
19 年 02 月   9300 認購        0          0         0         0         0  |     0          0         0       1741            +66        0         0  |       737        737         0         0            0
19 年 02 月   9400 認購        0          0         0         0         0  |     0          0         0       1642            +67       29         0  |      1300        663         0       500            0
19 年 02 月   9500 認購        0          0         0         0         0  |     0          0         0       1542            +66       28         0  |       677        593         0         0            0
19 年 02 月   9600 認購        0          0         0         0         0  |     0          0         0       1442            +65       26         0  |      1016        527         0         9            0
19 年 02 月   9700 認購        0          0         0         0         0  |     0          0         0       1343            +65       26         0  |       923        458         0        58            0
19 年 02 月   9800 認購        0          0         0         0         0  |     0          0         0       1244            +65       26         0  |       835        382         0       526            0
19 年 02 月   9900 認購        0          0         0         0         0  |     0          0         0       1145            +64       25         0  |       639        331         0        31            0
19 年 02 月  10000 認購        0          0         0         0         0  |     0          0         0       1046            +58       24         0  |      1074        274         0      3138            0
19 年 02 月  10100 認購        0          0         0         0         0  |     0          0         0        946            +54       22         0  |       601        253         0       359            0
19 年 02 月  10200 認購        0          0         0         0         0  |   756        760       756        853            +59       23        60  |       884        198        60      3817          -45
19 年 02 月  10300 認購        0          0         0         0         0  |     0          0         0        754            +56       21         0  |       665        183         0      2154            0
19 年 02 月  10400 認購        0          0         0         0         0  |   586        586       586        659            +52       20         1  |       777        146         1      3892           +1
19 年 02 月  10500 認購        0          0         0         0         0  |     0          0         0        565            +46       19         0  |       681        111         0      4194            0
19 年 02 月  10600 認購      410        410       410       410         1  |   401        427       373        476            +39       19       333  |       652         99       334      4502         +212
19 年 02 月  10700 認購        0          0         0         0         0  |   325        373       315        392            +35       18       177  |       584         77       177      3462         -144
19 年 02 月  10800 認購      281        281       281       281        10  |   253        300       230        314            +29       18       424  |       529         62       434      5940         -349
19 年 02 月  10900 認購      177        177       177       177         5  |   188        240       170        240            +21       17       284  |       498         45       289      1895          +74
19 年 02 月  11000 認購      173        173       143       143        31  |   142        176       122        177            +11       16       660  |       430         40       691      8566         +154
19 年 02 月  11100 認購      114        114        90        90        21  |   101        129        86        128            +10       16       732  |       393         28       753      3639         +180
19 年 02 月  11200 認購       84         84        65        65        33  |    67         89        56         89             +6       16       507  |       346         25       540      7915          +54
19 年 02 月  11300 認購       57         59        46        46         9  |    44         58        37         58             +2       16       547  |       306         19       556      7558           -3
19 年 02 月  11400 認購       37         37        25        25        27  |    27         36        22         37              0       16      4179  |       276         15      4206      6825        +3796
19 年 02 月  11500 認購       19         19        17        17         4  |    15         23        14         23              0       16       528  |       228         11       532     11332         -226
19 年 02 月  11600 認購        0          0         0         0         0  |    10         13         8         14              0       16       772  |       211          8       772      2257          +38
19 年 02 月  11700 認購        7          7         6         6         2  |     6          8         4          8              0       16       189  |       188          4       191      3263          +25
19 年 02 月  11800 認購        0          0         0         0         0  |     4          5         3          4             -1       16       187  |       166          3       187      1909          -98
19 年 02 月  11900 認購        0          0         0         0         0  |     0          0         0          2             -1       16         0  |       106          3         0       370            0
19 年 02 月  12000 認購        2          2         2         2         1  |     2          2         2          1             -1       16         5  |        95          2         6      3839           +6
19 年 02 月  12100 認購        0          0         0         0         0  |     1          1         1          1              0       17         4  |       108          1         4       746            0
19 年 02 月  12200 認購        0          0         0         0         0  |     1          1         1          1              0       19         3  |        85          1         3       159           +3
19 年 02 月  12300 認購        0          0         0         0         0  |     0          0         0          1              0       20         0  |        50          2         0        65            0
19 年 02 月  12400 認購        0          0         0         0         0  |     0          0         0          1              0       21         0  |        49          2         0        90            0
19 年 02 月  12500 認購        0          0         0         0         0  |     0          0         0          1              0       23         0  |        45          1         0        85            0
